Const;Title;IMDb Rating;Genres;Num Votes;Directors;Stock;Arriendos
tt4154796;Avengers: Endgame;84;Action, Adventure, Drama, Sci-Fi;1165794;Anthony Russo, Joe Russo;10;0
tt1201607;Harry Potter and the Deathly Hallows: Part 2;81;Adventure, Family, Fantasy, Mystery;894215;David Yates;10;0
tt1843866;Captain America: The Winter Soldier;78;Action, Adventure, Sci-Fi, Thriller;860694;Anthony Russo, Joe Russo;10;0
tt0347149;Hauru no ugoku shiro;82;Animation, Adventure, Family, Fantasy;407194;Hayao Miyazaki;10;0
